formulation,scenario_count,same_objective_count,same_schedule_count,avg_lp_fractional_mode_count,max_objective_gap_eur,avg_mip_runtime_seconds,avg_lp_runtime_seconds
basic,9,4,0,23.333333333333332,0.03576440191230379,0.029777791765001085,0.008111159006754557
tighter,9,6,2,9.666666666666666,0.003752753350974025,0.025777816772460938,0.006888839933607314
